Full_flag:  False
Hybrid:  False
441: acc=83.00% acc_corr=83.00% avg#q_ae=268.12 med#q=323.0, avg_margin=0.030211 (n_ex=100, eps=0.063, 612.71s)
451: acc=83.00% acc_corr=83.00% avg#q_ae=268.12 med#q=323.0, avg_margin=0.029884 (n_ex=100, eps=0.063, 629.68s)
461: acc=83.00% acc_corr=83.00% avg#q_ae=268.12 med#q=323.0, avg_margin=0.029647 (n_ex=100, eps=0.063, 642.82s)
471: acc=83.00% acc_corr=83.00% avg#q_ae=268.12 med#q=323.0, avg_margin=0.029437 (n_ex=100, eps=0.063, 656.28s)
481: acc=83.00% acc_corr=83.00% avg#q_ae=268.12 med#q=323.0, avg_margin=0.029112 (n_ex=100, eps=0.063, 669.95s)
491: acc=83.00% acc_corr=83.00% avg#q_ae=268.12 med#q=323.0, avg_margin=0.028779 (n_ex=100, eps=0.063, 687.37s)
501: acc=82.00% acc_corr=82.00% avg#q_ae=280.61 med#q=327.5, avg_margin=0.028440 (n_ex=100, eps=0.063, 706.71s)
511: acc=82.00% acc_corr=82.00% avg#q_ae=280.61 med#q=327.5, avg_margin=0.028158 (n_ex=100, eps=0.063, 724.38s)
521: acc=82.00% acc_corr=82.00% avg#q_ae=280.61 med#q=327.5, avg_margin=0.027812 (n_ex=100, eps=0.063, 736.63s)
531: acc=81.00% acc_corr=81.00% avg#q_ae=293.37 med#q=332.0, avg_margin=0.027618 (n_ex=100, eps=0.063, 748.70s)
541: acc=81.00% acc_corr=81.00% avg#q_ae=293.37 med#q=332.0, avg_margin=0.027386 (n_ex=100, eps=0.063, 763.70s)
551: acc=81.00% acc_corr=81.00% avg#q_ae=293.37 med#q=332.0, avg_margin=0.027288 (n_ex=100, eps=0.063, 779.17s)
561: acc=81.00% acc_corr=81.00% avg#q_ae=293.37 med#q=332.0, avg_margin=0.026985 (n_ex=100, eps=0.063, 801.99s)
571: acc=81.00% acc_corr=81.00% avg#q_ae=293.37 med#q=332.0, avg_margin=0.026785 (n_ex=100, eps=0.063, 830.22s)
581: acc=78.00% acc_corr=78.00% avg#q_ae=332.41 med#q=339.0, avg_margin=0.026552 (n_ex=100, eps=0.063, 854.18s)
591: acc=76.00% acc_corr=76.00% avg#q_ae=353.83 med#q=348.0, avg_margin=0.026248 (n_ex=100, eps=0.063, 874.67s)
